layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Sigmoid,100,0.0001,64,0.094
1,4,Sigmoid,100,0.0001,128,0.9275
1,4,Sigmoid,100,0.0001,256,0.5885
1,4,Sigmoid,100,0.0001,512,0.372
1,4,Sigmoid,250,10.0,16,0.999
1,4,Sigmoid,250,10.0,32,0.999
1,4,Sigmoid,250,10.0,64,0.999
1,4,Sigmoid,250,10.0,128,0.999
1,4,Sigmoid,250,10.0,256,0.999
1,4,Sigmoid,250,10.0,512,0.9965
1,4,Sigmoid,250,1.0,16,0.999
1,4,Sigmoid,250,1.0,32,0.999
1,4,Sigmoid,250,1.0,64,0.999
1,4,Sigmoid,250,1.0,128,0.999
1,4,Sigmoid,250,1.0,256,0.998
1,4,Sigmoid,250,1.0,512,0.999
1,4,Sigmoid,250,0.1,16,0.999
1,4,Sigmoid,250,0.1,32,0.999
1,4,Sigmoid,250,0.1,64,0.999
1,4,Sigmoid,250,0.1,128,0.999
1,4,Sigmoid,250,0.1,256,0.999
1,4,Sigmoid,250,0.1,512,0.999
1,4,Sigmoid,250,0.01,16,0.999
1,4,Sigmoid,250,0.01,32,0.999
1,4,Sigmoid,250,0.01,64,0.999
1,4,Sigmoid,250,0.01,128,0.999
1,4,Sigmoid,250,0.01,256,0.999
1,4,Sigmoid,250,0.01,512,0.999
1,4,Sigmoid,250,0.001,16,0.999
1,4,Sigmoid,250,0.001,32,0.999
1,4,Sigmoid,250,0.001,64,0.999
1,4,Sigmoid,250,0.001,128,0.999
1,4,Sigmoid,250,0.001,256,0.999
1,4,Sigmoid,250,0.001,512,0.999
1,4,Sigmoid,250,0.0001,16,0.2895
1,4,Sigmoid,250,0.0001,32,0.9755
1,4,Sigmoid,250,0.0001,64,0.5245
1,4,Sigmoid,250,0.0001,128,0.711
1,4,Sigmoid,250,0.0001,256,0.732
1,4,Sigmoid,250,0.0001,512,0.916
1,4,Softmax,1,10.0,16,0.778
1,4,Softmax,1,10.0,32,0.364
1,4,Softmax,1,10.0,64,0.785
1,4,Softmax,1,10.0,128,0.3405
1,4,Softmax,1,10.0,256,0.67
1,4,Softmax,1,10.0,512,0.3685
1,4,Softmax,1,1.0,16,0.44
1,4,Softmax,1,1.0,32,0.709
1,4,Softmax,1,1.0,64,0.8395
1,4,Softmax,1,1.0,128,0.3885
1,4,Softmax,1,1.0,256,0.7195
1,4,Softmax,1,1.0,512,0.984
1,4,Softmax,1,0.1,16,0.9865
1,4,Softmax,1,0.1,32,0.993
1,4,Softmax,1,0.1,64,0.704
1,4,Softmax,1,0.1,128,0.894
1,4,Softmax,1,0.1,256,0.978
1,4,Softmax,1,0.1,512,0.9795
1,4,Softmax,1,0.01,16,0.725
1,4,Softmax,1,0.01,32,0.14
1,4,Softmax,1,0.01,64,0.09
1,4,Softmax,1,0.01,128,0.678
1,4,Softmax,1,0.01,256,0.036
1,4,Softmax,1,0.01,512,0.976
1,4,Softmax,1,0.001,16,0.065
1,4,Softmax,1,0.001,32,0.805
1,4,Softmax,1,0.001,64,0.976
1,4,Softmax,1,0.001,128,0.9825
1,4,Softmax,1,0.001,256,0.442
1,4,Softmax,1,0.001,512,0.3355
1,4,Softmax,1,0.0001,16,0.613
1,4,Softmax,1,0.0001,32,0.557
1,4,Softmax,1,0.0001,64,0.1995
1,4,Softmax,1,0.0001,128,0.269
1,4,Softmax,1,0.0001,256,0.61
1,4,Softmax,1,0.0001,512,0.157
1,4,Softmax,10,10.0,16,0.999
1,4,Softmax,10,10.0,32,0.9975
1,4,Softmax,10,10.0,64,0.995
1,4,Softmax,10,10.0,128,0.9975
1,4,Softmax,10,10.0,256,0.999
1,4,Softmax,10,10.0,512,0.999
1,4,Softmax,10,1.0,16,0.999
1,4,Softmax,10,1.0,32,0.999
1,4,Softmax,10,1.0,64,0.999
1,4,Softmax,10,1.0,128,0.999
1,4,Softmax,10,1.0,256,0.999
1,4,Softmax,10,1.0,512,0.999
1,4,Softmax,10,0.1,16,0.999
1,4,Softmax,10,0.1,32,0.999
1,4,Softmax,10,0.1,64,0.999
1,4,Softmax,10,0.1,128,0.999
1,4,Softmax,10,0.1,256,0.999
1,4,Softmax,10,0.1,512,0.999
1,4,Softmax,10,0.01,16,0.987
1,4,Softmax,10,0.01,32,0.1345
1,4,Softmax,10,0.01,64,0.7205
1,4,Softmax,10,0.01,128,0.9855
1,4,Softmax,10,0.01,256,0.999
1,4,Softmax,10,0.01,512,0.9955
1,4,Softmax,10,0.001,16,0.0375
1,4,Softmax,10,0.001,32,0.9825
1,4,Softmax,10,0.001,64,0.8955
1,4,Softmax,10,0.001,128,0.97
1,4,Softmax,10,0.001,256,0.25
1,4,Softmax,10,0.001,512,0.771
1,4,Softmax,10,0.0001,16,0.873
1,4,Softmax,10,0.0001,32,0.8065
1,4,Softmax,10,0.0001,64,0.0755
1,4,Softmax,10,0.0001,128,0.7155
1,4,Softmax,10,0.0001,256,0.246
1,4,Softmax,10,0.0001,512,0.864
1,4,Softmax,25,10.0,16,0.999
1,4,Softmax,25,10.0,32,0.999
1,4,Softmax,25,10.0,64,0.999
1,4,Softmax,25,10.0,128,0.999
1,4,Softmax,25,10.0,256,0.999
1,4,Softmax,25,10.0,512,0.999
1,4,Softmax,25,1.0,16,0.999
1,4,Softmax,25,1.0,32,0.999
1,4,Softmax,25,1.0,64,0.999
1,4,Softmax,25,1.0,128,0.9975
1,4,Softmax,25,1.0,256,0.999
1,4,Softmax,25,1.0,512,0.999
1,4,Softmax,25,0.1,16,0.999
1,4,Softmax,25,0.1,32,0.999
1,4,Softmax,25,0.1,64,0.999
1,4,Softmax,25,0.1,128,0.999
1,4,Softmax,25,0.1,256,0.999
1,4,Softmax,25,0.1,512,0.999
1,4,Softmax,25,0.01,16,0.998
1,4,Softmax,25,0.01,32,0.999
1,4,Softmax,25,0.01,64,0.999
1,4,Softmax,25,0.01,128,0.999
1,4,Softmax,25,0.01,256,0.9945
1,4,Softmax,25,0.01,512,0.999
1,4,Softmax,25,0.001,16,0.079
1,4,Softmax,25,0.001,32,0.014
1,4,Softmax,25,0.001,64,0.7405
1,4,Softmax,25,0.001,128,0.9485
1,4,Softmax,25,0.001,256,0.163
1,4,Softmax,25,0.001,512,0.028
1,4,Softmax,25,0.0001,16,0.688
1,4,Softmax,25,0.0001,32,0.4545
1,4,Softmax,25,0.0001,64,0.18
1,4,Softmax,25,0.0001,128,0.9285
1,4,Softmax,25,0.0001,256,0.0235
1,4,Softmax,25,0.0001,512,0.642
1,4,Softmax,50,10.0,16,0.999
1,4,Softmax,50,10.0,32,0.999
1,4,Softmax,50,10.0,64,0.999
1,4,Softmax,50,10.0,128,0.999
1,4,Softmax,50,10.0,256,0.999
1,4,Softmax,50,10.0,512,0.9985
1,4,Softmax,50,1.0,16,0.9985
1,4,Softmax,50,1.0,32,0.999
1,4,Softmax,50,1.0,64,0.999
1,4,Softmax,50,1.0,128,0.999
1,4,Softmax,50,1.0,256,0.999
1,4,Softmax,50,1.0,512,0.999
1,4,Softmax,50,0.1,16,0.999
1,4,Softmax,50,0.1,32,0.999
1,4,Softmax,50,0.1,64,0.999
1,4,Softmax,50,0.1,128,0.999
1,4,Softmax,50,0.1,256,0.999
1,4,Softmax,50,0.1,512,0.999
1,4,Softmax,50,0.01,16,0.999
1,4,Softmax,50,0.01,32,0.999
1,4,Softmax,50,0.01,64,0.999
1,4,Softmax,50,0.01,128,0.999
1,4,Softmax,50,0.01,256,0.999
1,4,Softmax,50,0.01,512,0.999
